Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,244.729996,245.229996,243.139999,245.100006,243.912262,3560300
2019-01-29,245.350006,246.649994,244.949997,245.710007,244.519302,2432900
2019-01-30,248.410004,251.000000,247.779999,250.179993,248.967621,5686200
2019-01-31,248.949997,250.429993,248.339996,250.119995,248.907913,5649600
2019-02-01,250.669998,251.850006,249.750000,250.479996,249.266190,3971400
2019-02-04,250.429993,252.350006,249.679993,252.320007,251.097260,2576100
2019-02-05,253.360001,254.199997,252.809998,253.960007,252.729324,3090500
2019-02-06,253.630005,254.350006,253.050003,253.869995,252.639740,1913500
2019-02-07,252.399994,253.339996,250.169998,251.899994,250.679306,3884800
2019-02-08,250.509995,251.369995,249.130005,251.320007,250.102112,2942300
2019-02-11,252.119995,252.320007,250.350006,250.940002,249.723953,2677600
2019-02-12,252.720001,254.880005,252.669998,254.529999,253.296555,3080600
2019-02-13,255.529999,256.559998,255.119995,255.800003,254.560410,2918200
2019-02-14,254.539993,256.170013,253.619995,255.160004,253.923492,3811000
2019-02-15,256.170013,258.679993,256.149994,258.649994,258.102631,4751100
2019-02-19,257.959991,259.480011,257.959991,258.809998,258.262299,2744500
2019-02-20,258.820007,259.760010,258.320007,259.500000,258.950836,2454000
2019-02-21,258.940002,259.239990,257.500000,258.529999,257.982910,3197200
2019-02-22,259.260010,260.410004,259.010010,260.170013,259.619446,3938500
2019-02-25,261.850006,262.359985,260.750000,260.890015,260.337921,3585000
2019-02-26,259.959991,261.500000,259.600006,260.540009,259.988647,3080200
2019-02-27,259.820007,260.420013,258.769989,259.869995,259.320068,2777200
2019-02-28,259.859985,260.369995,259.059998,259.279999,258.731323,2772900
2019-03-01,261.149994,261.540009,259.230011,260.420013,259.868896,3676900
2019-03-04,261.500000,261.679993,256.200012,258.279999,257.733429,4823900
2019-03-05,258.220001,258.859985,257.390015,258.190002,257.643616,2107200
2019-03-06,258.239990,258.450012,256.450012,256.869995,256.326416,3222000
2019-03-07,256.399994,256.489990,253.610001,254.809998,254.270767,4104600
2019-03-08,252.880005,254.899994,252.740005,254.710007,254.170990,5495800
2019-03-11,252.850006,256.829987,252.460007,256.760010,256.216644,5469400
2019-03-12,256.239990,256.970001,255.429993,255.860001,255.318542,6570500
2019-03-13,256.839996,258.070007,256.010010,257.350006,256.805389,5272800
2019-03-14,257.329987,257.940002,256.619995,257.540009,256.994995,3409600
2019-03-15,257.579987,259.149994,256.329987,258.339996,258.339996,4225100
2019-03-18,257.940002,259.119995,257.709991,258.989990,258.989990,2786200
2019-03-19,260.109985,260.959991,258.000000,258.880005,258.880005,4761400
2019-03-20,258.459991,259.170013,256.549988,257.290009,257.290009,4382600
2019-03-21,256.380005,259.970001,256.350006,259.579987,259.579987,3796100
2019-03-22,257.920013,258.640015,254.964401,255.869995,255.869995,4018861
